date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:39:40	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sat,%2019%20May%202018%2009:39:47%20GMT	http://webable.digital/career/%e2%80%9dhttp://webable.digital/%e2%80%9d	C:/My%20Web%20Sites/Webable%20clone/webable.digital/career/%e2%80%9dhttp_/webable.digital/%e2%80%9d	(from http://webable.digital/career/)
15:39:40	1840/1840	U-----	200	untouched ('OK')	text/css	etag:%22ddbee6a-730-54bc7170821bf%22	http://webable.digital/wp-content/themes/webable/assets/css/style.css?ver=4.7.10	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/themes/webable/assets/css/styled714.css	(from http://webable.digital/career/)
15:39:40	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sat,%2019%20May%202018%2009:39:48%20GMT	http://webable.digital/career/%e2%80%9c//js.hs-scripts.com/504002.js%e2%80%9d	C:/My%20Web%20Sites/Webable%20clone/webable.digital/career/%e2%80%9c/js.hs-scripts.com/504002.js%e2%80%9d	(from http://webable.digital/career/)
15:39:41	2735/2735	U-----	200	untouched ('OK')	text/css	etag:%224e3ca4f-aaf-54f794a85dfc5%22	http://webable.digital/wp-content/plugins/formcraft-multi-page/assets/builder.css?ver=1.0.6	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/plugins/formcraft-multi-page/assets/builder0ba6.css	(from http://webable.digital/career/)
15:39:41	6908/6908	U-----	200	untouched ('')	application/javascript	etag:%221437a5b-1afc-5405eff119880%22	http://webable.digital/wp-includes/js/jquery/ui/widget.min.js?ver=1.11.4	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-includes/js/jquery/ui/widget.mine899.js	(from http://webable.digital/career/)
15:39:41	18061/18061	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2019%20May%202018%2009:39:48%20GMT	http://webable.digital/career/linkid.js	C:/My%20Web%20Sites/Webable%20clone/webable.digital/career/linkid.html	(from http://webable.digital/career/)
15:39:41	17949/17949	U-----	200	untouched ('')	application/javascript	etag:%22dcc5469-461d-54f7912f37ae2%22	http://webable.digital/wp-content/plugins/formcraft3/assets/js/vendor/jquery.fileupload.js?ver=4.7.10	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/plugins/formcraft3/assets/js/vendor/jquery.fileuploadd714.js	(from http://webable.digital/career/)
15:39:41	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sat,%2019%20May%202018%2009:39:49%20GMT	http://webable.digital/?p=1114	C:/My%20Web%20Sites/Webable%20clone/webable.digital/indexe1d7.html	(from http://webable.digital/career/)
15:39:41	6969/6969	U-----	200	untouched ('')	application/javascript	etag:%22dcc53f9-1b39-54f7912f1810b%22	http://webable.digital/wp-content/plugins/formcraft3/assets/js/src/fc_modal.js?ver=4.7.10	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/plugins/formcraft3/assets/js/src/fc_modald714.js	(from http://webable.digital/career/)
15:39:42	18061/18061	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2019%20May%202018%2009:39:49%20GMT	http://webable.digital/career/%22data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII=%22	C:/My%20Web%20Sites/Webable%20clone/webable.digital/career/_data_image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII=_.html	(from http://webable.digital/career/)
